team,season,player
DD,2016,CH Morris
DD,2017,CH Morris
KKR,2016,SP Narine
KKR,2017,SP Narine
MI,2016,KH Pandya
MI,2017,KH Pandya
KKR,2016,M Morkel
KKR,2017,M Morkel
RPS,2016,JA Morkel
RPS,2017,JA Morkel
RPS,2016,BA Stokes
RPS,2017,BA Stokes
MI,2016,Harbhajan Singh
MI,2017,Harbhajan Singh
DD,2016,P Negi
RCB,2017,P Negi
KKR,2016,AD Russell
KKR,2017,AD Russell
GL,2016,DJ Bravo
GL,2017,DJ Bravo
RPS,2016,KP Pietersen
RPS,2017,KP Pietersen
MI,2016,MJ McClenaghan
MI,2017,MJ McClenaghan
KKR,2016,Shakib Al Hasan
KKR,2017,Shakib Al Hasan
KKR,2016,YK Pathan
KKR,2017,YK Pathan
GL,2016,JP Faulkner
GL,2017,JP Faulkner
KXIP,2016,AR Patel
KXIP,2017,AR Patel
RCB,2016,SR Watson
RCB,2017,SR Watson
MI,2016,RG Sharma
MI,2017,RG Sharma
RPS,2016,MR Marsh
RPS,2017,MR Marsh
MI,2016,KA Pollard
MI,2017,KA Pollard
DD,2016,JP Duminy
DD,2017,JP Duminy
RCB,2016,Iqbal Abdulla
RCB,2017,Iqbal Abdulla
SRH,2016,B Kumar
SRH,2017,B Kumar
SRH,2016,Yuvraj Singh
SRH,2017,Yuvraj Singh
MI,2016,SL Malinga
MI,2017,SL Malinga
DD,2017,NM Coulter-Nile
KKR,2016,NM Coulter-Nile
GL,2016,SK Raina
GL,2017,SK Raina
RCB,2016,MA Starc
RCB,2017,MA Starc
KXIP,2016,Sandeep Sharma
KXIP,2017,Sandeep Sharma
GL,2016,RA Jadeja
GL,2017,RA Jadeja
DD,2016,A Mishra
DD,2017,A Mishra
RPS,2016,R Bhatia
RPS,2017,R Bhatia
SRH,2016,MC Henriques
SRH,2017,MC Henriques
KKR,2016,PP Chawla
KKR,2017,PP Chawla
RCB,2016,S Aravind
RCB,2017,S Aravind
SRH,2016,RS Bopara
SRH,2017,RS Bopara
GL,2016,DW Steyn
GL,2017,DW Steyn
GL,2016,DR Smith
GL,2017,DR Smith
RCB,2016,HV Patel
RCB,2017,HV Patel
RPS,2016,Ankit Sharma
RPS,2017,Ankit Sharma
RPS,2016,R Ashwin
RPS,2017,R Ashwin
RCB,2016,CH Gayle
RCB,2017,CH Gayle
RPS,2016,DT Christian
RPS,2017,DT Christian
KXIP,2016,MM Sharma
KXIP,2017,MM Sharma
RPS,2017,IK Pathan
GL,2016,IK Pathan
KXIP,2016,R Dhawan
KKR,2017,R Dhawan
GL,2016,DS Kulkarni
GL,2017,DS Kulkarni
KXIP,2016,DJG Sammy
KXIP,2017,DJG Sammy
KXIP,2016,MG Johnson
MI,2017,MG Johnson
SRH,2016,DJ Hooda
SRH,2017,DJ Hooda
MI,2016,R Vinay Kumar
MI,2017,R Vinay Kumar
DD,2016,AD Mathews
DD,2017,AD Mathews
GL,2016,MS Gony
GL,2017,MS Gony
SRH,2016,A Nehra
SRH,2017,A Nehra
KXIP,2016,GJ Maxwell
KXIP,2017,GJ Maxwell
SRH,2016,TL Suman
SRH,2017,TL Suman
KKR,2016,UT Yadav
KKR,2017,UT Yadav
MI,2016,HH Pandya
MI,2017,HH Pandya
RCB,2016,V Kohli
RCB,2017,V Kohli
DD,2016,Z Khan
DD,2017,Z Khan
MI,2016,CJ Anderson
DD,2017,CJ Anderson
SRH,2017,P Kumar
GL,2017,P Kumar
RPS,2016,AB Dinda
RPS,2017,AB Dinda
RCB,2016,AB de Villiers
RCB,2017,AB de Villiers
KKR,2016,SC Ganguly
KKR,2017,SC Ganguly
KKR,2016,R Sathish
KKR,2017,R Sathish
KXIP,2016,DA Miller
KXIP,2017,DA Miller
RPS,2016,I Sharma
KXIP,2017,I Sharma
GL,2016,PJ Sangwan
GL,2017,PJ Sangwan
DD,2016,S Nadeem
DD,2017,S Nadeem
KXIP,2016,HM Amla
KXIP,2017,HM Amla
RCB,2016,KM Jadhav
RCB,2017,KM Jadhav
KKR,2016,CA Lynn
KKR,2017,CA Lynn
DD,2016,Mohammed Shami
DD,2017,Mohammed Shami
SRH,2016,DA Warner
SRH,2017,DA Warner
GL,2016,SPD Smith
GL,2017,SPD Smith
DD,2016,RR Pant
DD,2017,RR Pant
SRH,2016,KS Williamson
SRH,2017,KS Williamson
MI,2016,JC Buttler
MI,2017,JC Buttler
KXIP,2016,WP Saha
KXIP,2017,WP Saha
KXIP,2016,SE Marsh
KXIP,2017,SE Marsh
SRH,2016,S Dhawan
SRH,2017,S Dhawan
DD,2016,SV Samson
DD,2017,SV Samson
DD,2016,KK Nair
KXIP,2017,M Vohra
MI,2016,MJ Guptill
MI,2017,MJ Guptill
RCB,2016,Sachin Baby
RCB,2017,Sachin Baby
RCB,2016,KL Rahul
SRH,2016,Bipul Sharma
RPS,2016,MS Dhoni
RPS,2017,MS Dhoni
